	station_id	stationname	date	rides	y
13501	40360	Southport	08/25/2007	0	2007
135326	41220	Fullerton	05/15/2007	11583	2007
135335	40610	Ridgeland	12/12/2007	1340	2007
135348	41230	47th-Dan Ryan	01/19/2007	2928	2007
135356	41240	Addison-O'Hare	06/01/2007	3034	2007
135367	41670	Conservatory	11/05/2007	816	2007
135417	40830	18th	01/07/2007	413	2007
135424	40270	Main	01/30/2007	1163	2007
135433	40470	Racine	02/09/2007	2343	2007
135436	40390	Forest Park	01/31/2007	3757	2007
135438	41230	47th-Dan Ryan	02/08/2007	2588	2007
135490	40630	Clark/Division	09/20/2007	6370	2007
135530	40240	79th	03/08/2007	7686	2007
135540	40190	Sox-35th-Dan Ryan	12/02/2007	1424	2007
135543	41300	Loyola	02/11/2007	2349	2007
135549	41340	LaSalle	04/07/2007	660	2007
135577	41140	King Drive	03/27/2007	682	2007
135580	40640	Madison/Wabash	10/30/2007	5824	2007
135581	40670	Western/Milwaukee	04/19/2007	3761	2007
135582	40480	Cicero-Lake	03/02/2007	1381	2007
135585	40470	Racine	09/25/2007	2377	2007
135608	40420	Cicero-Cermak	03/19/2007	942	2007
135637	40560	Jackson/State	04/25/2007	11955	2007
135642	40760	Granville	04/05/2007	3357	2007
135647	40690	Dempster	03/20/2007	740	2007
135691	40340	Berwyn	02/12/2007	2777	2007
135713	40070	Jackson/Dearborn	05/14/2007	6305	2007
135715	40030	Pulaski-Lake	08/05/2007	760	2007
135718	40420	Cicero-Cermak	11/06/2007	1090	2007
135721	40020	Harlem-Lake	07/15/2007	1708	2007
135722	40880	Thorndale	08/24/2007	2509	2007
135724	41400	Roosevelt	03/23/2007	7451	2007
135731	41300	Loyola	04/08/2007	1835	2007
135734	41410	Chicago/Milwaukee	11/19/2007	2846	2007
135764	40790	Monroe/Dearborn	07/09/2007	5530	2007
135803	40560	Jackson/State	10/15/2007	10929	2007
135845	41440	Addison-Brown	11/11/2007	0	2007
135851	41250	Central-Evanston	07/30/2007	910	2007
135872	40500	Washington/State	04/22/2007	0	2007
135874	40650	North/Clybourn	08/17/2007	4414	2007
135897	41340	LaSalle	08/06/2007	2373	2007
135917	40460	Merchandise Mart	10/12/2007	5295	2007
135925	40340	Berwyn	04/23/2007	3073	2007
135938	40840	South Boulevard	08/09/2007	751	2007
135957	40500	Washington/State	09/07/2007	0	2007
135959	40690	Dempster	11/29/2007	679	2007
135994	41660	Lake/State	12/20/2007	13707	2007
136006	41320	Belmont-North Main	08/28/2007	11087	2007
136029	40520	Foster	12/24/2007	141	2007
136048	40880	Thorndale	09/25/2007	2979	2007
136065	40420	Cicero-Cermak	05/06/2007	540	2007
136070	40720	East 63rd-Cottage Grove	04/03/2007	1252	2007
136074	41400	Roosevelt	03/31/2007	5671	2007
136091	40780	Central Park	11/29/2007	964	2007
